artifact,result_status,mission_terminal,navigation_success_claimed,result_path,failure_path,failure_reason,recorded_summary,source_reports,physical_reader_path,verified_goal_arrivals,verified_home_arrivals,round_trip_checks_passed,disallowed_contact_samples
go2_action_forecast_bias_readout_v1_attempt_001,RESULT_RECORDED,,,/mnt/steam_drive/LeWMQuad-v3/navigation_development_artifacts_v1/go2_action_forecast_bias_readout_v1_attempt_001/result.json,,,{},docs/go2_action_forecast_bias_and_longer_fit_2026-09-17.md,,,,,
go2_active_view_goal_probe_v1_attempt_001,ACTIVE_VIEW_GOAL_PROBE_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_active_view_goal_probe_v1_attempt_001/result.json,,,"{""status"":""ACTIVE_VIEW_GOAL_PROBE_COMPLETE"",""wall_s"":462.1408097620588}",docs/go2_active_view_goal_probe_result_2026-09-08.md;docs/go2_active_view_goal_probe_v1_2026-09-08.md;docs/go2_active_view_goal_readout_v1_2026-09-08.md,,,,,
go2_active_view_goal_readout_v1_attempt_001,ACTIVE_VIEW_GOAL_READOUT_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_active_view_goal_readout_v1_attempt_001/result.json,,,"{""status"":""ACTIVE_VIEW_GOAL_READOUT_COMPLETE""}",docs/go2_active_view_goal_probe_result_2026-09-08.md;docs/go2_active_view_goal_readout_v1_2026-09-08.md,,,,,
go2_active_view_six_model_transitions_v1_attempt_001,ACTIVE_VIEW_SIX_MODEL_EXECUTED_TRANSITIONS_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_active_view_six_model_transitions_v1_attempt_001/result.json,,,"{""status"":""ACTIVE_VIEW_SIX_MODEL_EXECUTED_TRANSITIONS_COMPLETE"",""wall_s"":19.09845641301945}",docs/go2_active_view_six_model_transitions_result_2026-09-08.md;docs/go2_active_view_six_model_transitions_v1_2026-09-08.md,,,,,
go2_adapter_controller_windows_profile_v1_attempt_001,ADAPTER_CONTROLLER_WINDOWS_PROFILE_V1_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_adapter_controller_windows_profile_v1_attempt_001/result.json,,,"{""status"":""ADAPTER_CONTROLLER_WINDOWS_PROFILE_V1_COMPLETE"",""wall_s"":1413.376872841036}",docs/go2_adapter_controller_profile_execution_2026-09-10.md;docs/go2_adapter_controller_windows_profile_result_2026-09-10.md;docs/go2_adapter_controller_windows_profile_v1_2026-09-10.md,,,,,
go2_adapter_hold_prefix_v1_attempt_001,ADAPTER_HOLD_PREFIX_DIAGNOSIS_V1_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_adapter_hold_prefix_v1_attempt_001/result.json,,,"{""status"":""ADAPTER_HOLD_PREFIX_DIAGNOSIS_V1_COMPLETE""}",docs/go2_adapter_first_1000_observed_timing_2026-09-10.md;docs/go2_adapter_hold_prefix_result_2026-09-10.md;docs/go2_adapter_hold_prefix_v1_2026-09-10.md,,,,,
go2_adjacent_pair_correspondence_v1_attempt_001,ADJACENT_PAIR_CORRESPONDENCE_DIAGNOSTIC_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_adjacent_pair_correspondence_v1_attempt_001/result.json,,,"{""status"":""ADJACENT_PAIR_CORRESPONDENCE_DIAGNOSTIC_COMPLETE"",""wall_s"":36.975642579142004}",docs/go2_adjacent_pair_correspondence_result_2026-09-08.md,,,,,
go2_all_phase_adapter_maze02_matched_native_v1_attempt_001,ALL_PHASE_ADAPTER_MAZE02_MATCHED_NATIVE_V1_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_adapter_maze02_matched_native_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_ADAPTER_MAZE02_MATCHED_NATIVE_V1_COMPLETE"",""wall_s"":66989.35034525394}",docs/go2_adapter_native_and_frontier_replay_execution_2026-09-10.md;docs/go2_all_phase_adapter_full_direct_maze02_result_2026-09-10.md;docs/go2_all_phase_adapter_full_jepa_maze02_result_2026-09-10.md;docs/go2_all_phase_adapter_full_supervised_maze02_result_2026-09-10.md;docs/go2_all_phase_adapter_maze02_matched_native_v1_2026-09-10.md;docs/go2_all_phase_adapter_no_rgb_jepa_maze02_result_2026-09-10.md;docs/go2_development_artifact_retention_2026-09-14.md,,,,,
go2_all_phase_corrected_prediction_readout_v1_attempt_001,ALL_PHASE_CORRECTED_PREDICTION_READOUT_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_corrected_prediction_readout_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_CORRECTED_PREDICTION_READOUT_COMPLETE"",""wall_s"":109.78195782913826}",docs/go2_all_phase_corrected_prediction_readout_result_2026-09-10.md;docs/go2_all_phase_corrected_prediction_readout_v1_2026-09-10.md;docs/go2_all_phase_corrected_readout_progress_2026-09-10.md,,,,,
go2_all_phase_fit_benchmark_v1_attempt_001,ALL_PHASE_FIT_BENCHMARK_COMPLETE,,,/home/andrewknowles/RecoveryStorage/LeWMQuad-v3/.generated/navigation_development_artifacts_v1/go2_all_phase_fit_benchmark_v1_attempt_001/result.json,,,"{""status"":""ALL_PHASE_FIT_BENCHMARK_COMPLETE""}",docs/go2_all_phase_fit_benchmark_result_2026-09-10.md;docs/go2_all_phase_matched_fits_progress_2026-09-10.md;docs/go2_all_phase_matched_fits_v1_2026-09-10.md,,,,,
